place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
Centro de acogida 'Juan Luis Vives',Instalación accesible municipal,CALLE ALCALDE JUAN DE MATA SEVILLANO 18,474 - Estación de tren de Vicálvaro,"Calle San Cipriano, 71 ,",1473 meters,27
Departamento de Protección a la Infancia y Adolescencia,Instalación accesible municipal,PASEO CHOPERA 41 PLANTA Baja,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Grupo Municipal Más Madrid,Instalación accesible municipal,CALLE MAYOR 71 PLANTA 1ª y 2ª,35 - Plaza del Cordón,"Plaza del Cordón nº1,",210 meters,24
Grupo Municipal Socialista de Madrid,Instalación accesible municipal,CALLE MAYOR 71 PLANTA 3ª y 4ª,35 - Plaza del Cordón,"Plaza del Cordón nº1,",210 meters,24
Grupo Municipal del Partido Popular,Instalación accesible municipal,PLAZA VILLA 5,9 - Plaza de San Miguel,"Plaza de San Miguel nº 10,",136 meters,24
Área de Gobierno de Políticas de Vivienda,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",192 meters,27
Agencia de Actividades,Instalación accesible municipal,CALLE BUSTAMANTE 16,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",49 meters,23
Agencia de Zona de Arganzuela,Instalación accesible municipal,CALLE ANCORA 41,273 - Delicias - General Lacy,"Calle de las Delicias, 41 ,",191 meters,19
Agencia de Zona de Barajas,Instalación accesible municipal,AVENIDA CANTABRIA 6,"556 - Cantabria, 6","Avenida de Cantabria, 6,",10 meters,24
Agencia de Zona de Latina-Carabanchel,Instalación accesible municipal,CALLE ALHAMBRA 89,330 - Duquesa de Parcent - Marcelino Castillo,"Calle Duquesa de Parcent, 14 ,",225 meters,23
Agencia de Zona de Puente de Vallecas,Instalación accesible municipal,PLAZA SIERRA MINISTRA 3,227 - Arroyo del Olivar,"Calle Arrollo del Olivar, 3 ,",360 meters,24
Agencia de Zona de Puente de Vallecas (Casa del Empleo),Instalación accesible municipal,PLAZA SIERRA MINISTRA 3,227 - Arroyo del Olivar,"Calle Arrollo del Olivar, 3 ,",360 meters,24
Agencia de Zona de Retiro,Instalación accesible municipal,AVENIDA CIUDAD DE BARCELONA 164,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",190 meters,24
Agencia de Zona de Tetuán,Instalación accesible municipal,CALLE JUAN PANTOJA 2,204 - Doctor Santero - Bravo Murillo,"Calle Doctor Santero, 1 ,",352 meters,23
Agencia de Zona de Vicálvaro,Instalación accesible municipal,AVENIDA DAROCA 327,462 - Gallegos - Lavadero Viejo,"Calle Gallegos 27,",233 meters,27
Agencia de Zona de Villaverde,Instalación accesible municipal,AVENIDA OROVILLA 54,398 - Orovilla - Felicidad,"Avenida de Orovilla, 53,",43 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Arganzuela,Instalación accesible municipal,PASEO CHOPERA 2,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",298 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Barajas,Instalación accesible municipal,CALLE TRESPADERNE 16,"556 - Cantabria, 6","Avenida de Cantabria, 6,",794 meters,24
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Carabanchel,Instalación accesible municipal,AVENIDA CARABANCHEL ALTO 61,374 - Dinero - La Peseta,"Calle del Dinero, 38,",487 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Centro- Sur,Instalación accesible municipal,CALLE MONTERA 16,56 - Plaza del Carmen ,"Plaza del Carmen nº 1,",110 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamartín,Instalación accesible municipal,CALLE COMANDANTE AZCARRAGA 4,285 - Santa María Magdalena - La Drácena,"Calle Santa María Magdalena, 15 ,",339 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamberí,Instalación accesible municipal,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 8,132 - Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",100 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Ciudad Lineal,Instalación accesible municipal,CALLE PELOPONESO 9,501 - Metro Alsacia,"Calle Hermanos García Noblejas, 137 ,",521 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Fuencarral - El Pardo,Instalación accesible municipal,AVENIDA SOTO PALACIOS 7,583 - Ángel Múgica - Marcos de Orueta,"Calle de Angel Mugica, 3,",508 meters,24
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Hortaleza,Instalación accesible municipal,CALLE JAVIER DEL QUINTO 2,546 - Andorra - Canillas,"Calle Andorra, 2 ,",598 meters,23
